Title,Author,Barcode,"Item number (internal)","Permanent library","Shelving location","Call number","Not for loan","Lost status","Damaged status","Withdrawn status","Inventory number"
"Romeo y Julieta","Shakespeare, William",11011,4628,3326,,,,,0,0,
"Salfón el limpiador de tejados","Serrano, Tomás",8282,4685,3326,,,,,0,0,
"Sapo saltarín",,11886,5535,3326,,,,,0,0,
"Sed de amor",Mishima,11425,4689,3326,,,,,0,0,
"Si yo fuera bruja","López, Mónica",10484,4674,3326,,,,,0,0,
"Sobre la fotografía","Sontag, Susan",10340,4648,3326,"Arte, música, fotografía, jardinería",,,,0,0,
"Soluciones para tu casa","Speroni, Raúl",11398,4619,3326,,,,,0,0,
"Tantra, amor y sexo","Richardson, Diana",11333,4683,3326,,,,,0,0,
"Técnicas de clown",Moreira,11530,4594,3326,,,,,0,0,
"Teniente Coronel de Marina Luis Piedrabuena","Instituto Nacional Browniano",11632,5113,3326,Biografías,,,,0,0,
"Tres espejos","Vargas, Sebastián",11023,4632,3326,,,,,0,0,
"Tulia y la tecla mágica","Baranda, María",10773,4599,3326,,,,,0,0,
"Una fiesta en la selva","Una fiesta en la selva",8683,4588,3326,,,,,0,0,
"Valentín Saygüeque y la",,10094,4576,3326,,,,,0,0,
"Vida de perros",,11386,4569,3326,,,,,0,0,
"¿dónde está Wally?","Wright, Rachel",10117,4602,3326,,,,,0,0,
"Jorge Luis Borges Bibliografía completa","Helft, Nicolás",4689,5023,3326,BOG,"012 HEL",,,0,0,
"Teoría y nuevos escenarios de la biblioteconomía","Pérez Pulido, Margarita",7495,3419,3326,CG,"025.1 PER",,,0,0,
"Bibliotecas y archivos virtuales","Sequeira, Deyanira",7912,3835,3326,CG,"025? SEQ",,,0,0,
"Una introducción al rol de la biblioteca en la educación del siglo XXI","Kolesas, Mabel",7666,3590,3326,CG,"027.8 KOL",,,0,0,
"Congreso de promoción de la lectura y el libro 2003-2004",,7391,3315,3326,CG,"028.1 CON",,,0,0,
"La biblioteca y la formación de lectores","Charria de Alonso, María Elvira",2062,1885,3326,CG,"028.55 CHA",,,0,0,
"Diccionario de personajes saramaguianos",,7917,3840,3326,CG,"030 DIC",,,0,0,
"Enciclopedia didáctica de ciencias naturales",,6298,1905,3326,CG,"030 ENC",,,0,0,
Enciclopedia,,5852,764,3326,SALA,"030 OC",,,0,0,
"Enciclopedia autodidáctica interactiva",,7616,3540,3326,CG,"030 OCE",,,0,0,
"Enciclopedia autodidáctica interactiva",,7617,3541,3326,CG,"030 OCE",,,0,0,
"Enciclopedia autodidáctica interactiva",,7618,3542,3326,CG,"030 OCE",,,0,0,
"Enciclopedia autodidáctica interactiva",,7619,3543,3326,CG,"030 OCE",,,0,0,
"Enciclopedia escolar Océano",,6605,2334,3326,CG,"030 OCE",,,0,0,
"Enciclopedia temática EGB.net ilustrada",,5854,766,3326,SALA,"030 RUY",,,0,0,
"Diccionario de autores latinoamericanos","Aira, César",7325,3249,3326,CG,"038 AIR",,,0,0,
"Parques Nacionales de América Latina","Napchan, Luciana",7563,3487,3326,CG,"05-0012 NAP",,,0,0,
"Si Gutenberg viviera...","Kolesas, Mabel",6031,1503,3326,SALA,"059 KOL",,,0,0,
"Derechos Humanos","O`Donell, Santiago",11.087,4322,3326,,070.4,,,0,0,
"Artículos periodísticos, reportajes,cartas y documentos(1947-1959)","Cooke, John William",8937,4407,3326,,"070.43 COO",,,0,0,
"Cuando me muera quiero que me toquen cumbia","Alarcón, Cristian",7072,2996,3326,"Investigación periodística","0.70.44 ALA",,,0,0,
"Café de camareras","Cadícamo, Enrique",1728,130,3326,"Investigación periodística","070.44 CAD",,,0,0,
"A sangre fría","Capote, Truman",6133,1605,3326,,"070.44 CAP",,,0,0,
"Malvinas, La trama secreta","Cardoso, Oscar",10234,4393,3326,,"070.44 CAR",,,0,0,
"La masacre de Plaza de Mayo","Cháves, Gonzalo Leonidas",7439,3363,3326,CG,"070.44 CHA",,,0,0,
"Fuimos Soldados","Larraquy Marcelo",11496,6073,3326,"Investigación periodística","070.44 LAR",,,0,0,
"La cronica periodistica","Peralta, Dante",11240,4490,3326,,"070.44 PER",,,0,0,
"Civiles y Militares","Verbitsky, Horacio",11164,4621,3326,,"070.44 VER",,,0,0,
"El violento oficio de escribir","Walsh, Rodolfo",10.987,4262,3326,,"070.44 WAL",,,0,0,
Criptopunks,"Assange, Julian",12277,6058,3326,"Investigación periodística","070.4 ASS",,,0,0,
"Operacion Masacre seguido de la campaña periodistica","Ferro, Roberto",8987,4421,3326,,"070.4 FER",,,0,0,
Bravas,"Seoane, María",11494,5574,3326,"Investigación periodística","070.4 SEO",,,0,0,
"¿Hay vida en la tierra?","Villoro, Juan",10894,4207,3326,,"070 VIL",,,0,0,
"Escritos selectos","Alberdi, Juan Bautista",6039,1511,3326,SALA,"100 ALB",,,0,0,
"Problemas de historia de las ideas filosóficas en la Argentina","Alberini, Coriolano",2438,2394,3326,CG,"100 ALB",,,0,0,
"El ente y la memoria","Anquin, Nimio de",2420,2393,3326,CG,"100 ANQ",,,0,0,
"La filosofía del lenguaje","Auroux, Silvain",6297,1904,3326,CG,"100 AUR",,,0,0,
"Diccionario de filosofía de bolsillo","Ferrater Mora, José",6034,1506,3326,SALA,"100 FER",,,0,0,
"Diccionario de filosofía de bolsillo","Ferrater Mora, José",6035,1507,3326,SALA,"100 FER",,,0,0,
"El águila y el oso","Haile, Pennington",6254,1851,3326,SALA,"100 HAI",,,0,0,
"El hombre mediocre","Ingenieros, José",6307,1944,3326,CG,"100 ING",,,0,0,
"La ideología alemana","Marx, Carlos",7530,3454,3326,CG,"100 MAR",,,0,0,
"El viajero y su sombra","Nietzsche, Friedrich",6776,2657,3326,CG,"100 NIE",,,0,0,
"Una introducción a la enseñanza de la filosofía","Obiols, Guillermo",6403,2076,3326,CG,"100 OBI",,,0,0,
" ¿Que es la Filosofía?","Ortega y Gasset, Jose",10708,4170,3326,,"100 OTT",,,0,0,
"Selección de escritos","Romero , Francisco",2456,2151,3326,CG,"100 ROM",,,0,0,
"Diccionario de filosofía abreviado","Ferrater Mora, José",7559,3483,3326,CG,"103 FER",,,0,0,
"El camino de la egoencia","Muñoz Soler, Ramón Pascual",5058,2629,3326,CG,"110 MU",,,0,0,
"Nacida bajo el signo del toro","Bonelli, Florencia",11367,4334,3326,,11321,,,0,0,
"Numerología China","Sachs, Bob",6736,2600,3326,CG,"113 SAC",,,0,0,
"Freud para principiantes","Apignanese, Richard",11.330,4350,3326,,"150.195 API",,,0,0,
"Freud y el psicoanálisis",,6730,2587,3326,CG,"150.195 FRE",,,0,0,
"Paranoia y neurosis obsesiva","Freud, Sigmund",6462,2135,3326,CG,"150.1 FRE",,,0,0,
"El tren de los adolescentes","Díaz, Guillermina",6947,2843,3326,CG,"150 DA",,,0,0,
"Psicología general y de la personalidad","Mandolini Guardo, Ricardo G.",2590,2901,3326,CG,"150 MAN",,,0,0,
"Introducción a Piaget","Richmond, P.G.",6949,2845,3326,CG,"150 RIC",,,0,0,
"Piaget en el aula",,6948,2844,3326,CG,"150 SCH",,,0,0,
"El poder de la mente","Winter, Arthur",6883,2779,3326,CG,"150 WIN",,,0,0,
"Cómo vivir con una mujer neurótica","Baker, Stephen",6646,2410,3326,CG,"152.4 BAK",,,0,0,
Psicodiagnóstico,"Fernández Ballesteros, Rocio",3815,1758,3326,SALA,"153.93 FER",,,0,0,
"Lenguaje y pensamiento en el desarrollo humano","Boyle, D. G.",552,2685,3326,CG,"153 BOY",,,0,0,
"La cura por el agua","Atkinson, William",11807,5166,3326,Autoayuda,"158.1 ATK",,,0,0,
"Cómo conseguir trabajo","Becassino, Irma T.",6862,2758,3326,CG,"158.1 BEC",,,0,0,
"Tómame o déjame","Carrano, Patrizia",4358,5448,3326,Psicología,"158.1 CAR",,,0,0,
"Las 4 fases de la luna roja","Gray, Miranda",11319,4342,3326,,"158.1 GRA",,,0,0,
"Luna Roja","Gray, Miranda",11342,4340,3326,,"158.1 GRA",,,0,0,
"Hacia la felicidad","Hashuel, Patricia",12004,6074,3326,Autoayuda,"158.1 HAS",,,0,0,
"Bendiciones Disfrazadas","Lemos, Susana",12254,6045,3326,Autoayuda,"158.1 LEM",,,0,0,
"Los alimentos del metabolismo acelerado","Pomroy, Haylie",12263,6046,3326,Autoayuda,"158.1 POM",,,0,0,
"Educar para sentir","Sordo,Pilar",11837,5165,3326,Autoayuda,"158.1 SOR",,,0,0,
"El niño feliz","Briggs, Dorothy",11552,5042,3326,Psicología,"159 BRI",,,0,0,
"Introducción al simbolismo lógico","Bosch, Jorge",5341,2652,3326,CG,"160 BOS",,,0,0,
"Lógica y epistemología","Obiols, Guillermo A.",6327,1963,3326,CG,"160 OBI",,,0,0,
"Historia de la filosofía","Marías, Julián",7323,3247,3326,CG,"180 MAR",,,0,0,
"Tao te ching",Lao-Tsé,10600,4303,3326,,"180 TSE",,,0,0,
"Sistema hindú-yogui de la cura por el agua","Ramacharaka, Yogui",6741,2605,3326,CG,"181.45 RAM",,,0,0,
"El arte de la guerra","Tzu, Sun",7316,3240,3326,CG,"181 TZU",,,0,0,
"Apología de Sócrates",Platón,6469,2146,3326,CG,"184 PLA",,,0,0,
"Lo malo de lo bueno o las soluciones de hégate","Watzlawick, Paul",6195,1781,3326,SALA,"184 WAT",,,0,0,
"El crimen de la guerra","Alberdi, Juan Bautista",6096,1569,3326,SALA,"190 ALB",,,0,0,
"La filosofía","Barylko, Jaime",6922,2818,3326,CG,"190 BAR",,,0,0,
"retórica y locura","González, Horacio",7071,2995,3326,CG,"190 GON",,,0,0,
"Temas existenciales","Guglielmini, Homero",10073,4981,3326,Filosofía,"190 GUG",,,0,0,
"Sobre el tiempo","Indij, Guido",11405,4739,3326,Filosofía,"190 IND",,,0,0,
Utopía,"Moro, Thomas",6985,2881,3326,CG,"190 MOR",,,0,0,
"Ideas fuertes","Nietzsche, Friedrich",7169,3093,3326,CG,"190 NIE",,,0,0,
"Más allá del bien y del mal","Nietzsche, Friedrich",6788,2675,3326,CG,"190 NIE",,,0,0,
"El contrato social","Rousseau, Jean-Jacques",6727,2584,3326,CG,"190 ROU",,,0,0,
"Nuevas profecías de Nostradamus","Fontbrune, Jean Charles de",6037,1509,3326,SALA,"200 FON",,,0,0,
"El Cristo de la Quebrada","Gutiérrez, Ricardo",2150,5039,3326,Religión,"229 GUT",,,0,0,
"Sermones de un patriota","Esquiú, Fray Mamerto",2384,2325,3326,CG,"252 ESQ",,,0,0,
"Breve relación de las misiones del Paraguay","Cardiel, José",2448,2371,3326,CG,"271.53 CAR",,,0,0,
"Los secretos de la inquisición","Burman, Edward",6726,2583,3326,CG,"272.2 BUR",,,0,0,
"De la ciudad a la nación","Chiaramonte, José",12079,5895,3326,,"282 CHI",,,0,0,
"Las profecías de Nostradamus","Roland, Francis",6878,2774,3326,CG,"291.32 ROL",,,0,0,
"Mujeres contra la explotación ",ATTAC,11931,5211,3326,,"301 ATT",,,0,0,
"El oficio de sociólogo","Bourdieu, Pierre",7636,3560,3326,CG,"301 BOU",,,0,0,
"Nahuel Moreno","Brienza, Hernán",12096,5878,3326,"Sociedad, cultura, ciudadanía, promoción cultural, sociología, trabajo social","301 BRI",,,0,0,
"Desarrollo local",,5966,1356,3326,SALA,"301 BUR",,,0,0,
"Redes sociales en el trabajo social","Chadi, Mónica",5886,997,3326,SALA,"301 CHA",,,0,0,
"Victorio Codovilla","Dominguez, Pablo",12077,5882,3326,"Sociedad, cultura, ciudadanía, promoción cultural, sociología, trabajo social","301 DOM",,,0,0,
"La economía social ","Elgue, Mario",11923,5203,3326,,"301 ELG",,,0,0,
"Liborio Justo","Etcheverri, Catriel",12148,5885,3326,"Sociedad, cultura, ciudadanía, promoción cultural, sociología, trabajo social","301 ETC",,,0,0,
"El cuidado infantil en el siglo XXI","Faur, Eleonor",10455,4259,3326,,"301 FAU",,,0,0,
"Culturas híbridas","García Canclini, Néstor",7932,3855,3326,CG,"301 GAR",,,0,0,
"La trama cultural","Garreta, Mariano Juan",5965,1355,3326,SALA,"301 GAR",,,0,0,
"Sociología básica","González Gaviola, Horacio",4869,2654,3326,CG,"301 GON",,,0,0,
"Sobre el genocidio","Lozada, Martín",11938,5526,3326,"Sociedad, cultura, ciudadanía, promoción cultural, sociología, trabajo social","301 LOZ",,,0,0,
"Abelardo Ramos","Noble, Cristina",12073,5881,3326,"Sociedad, cultura, ciudadanía, promoción cultural, sociología, trabajo social","301 NOB",,,0,0,
"Juan B. Justo","Noble, Cristina",12094,5879,3326,"Sociedad, cultura, ciudadanía, promoción cultural, sociología, trabajo social","301 NOB",,,0,0,
"Niñez Trans","Pavan, Valeria",11843,5180,3326,,"301 PAV",,,0,0,
"El sueño de la patria grande","Recondo, Gregorio",6481,2165,3326,CG,"301 REC",,,0,0,
"Vienen por el oro, vienen por todo","Rodriguez Pardo, Javier",9140,4525,3326,,"301 ROD",,,0,0,
"Las tecnologías en Argentina","Solivérez, Carlos Eduardo",7627,3551,3326,CG,"301 SOL",,,0,0,
"La sombra del narcotráfico","Vazquez, Juan Cruz",11947,5516,3326,,"301 VAZ",,,0,0,
"Lenguajes de la radio","Cohen, Daniel",9825,4402,3326,,"302.2 COM",,,0,0,
"Radio Itinerante","Holgado, Andrea",8968,4139,3326,,"302.2 HOL",,,0,0,
"La batalla de la comunicación","Lazzaro, Luis",9823,4295,3326,,"302.2 LAZ",,,0,0,
"Comunicarse más y mejor","Pisano, Juan Carlos",6600,2329,3326,CG,"302.2 PIS",,,0,0,
"Organizaciones de la sociedad civil","De Piero, Sergio",7507,3431,3326,CG,"302.35 DEP",,,0,0,
"Evaluar para la transformación","Nirenberg, Olga",7930,3853,3326,CG,"302.3 NIR",,,0,0,
"El grupo ","García, Dora",6894,2790,3326,CG,"302.52 GAR",,,0,0,
"De la emergencia a la...","Coraggio, José Luis",7931,3854,3326,CG,"302 COR",,,0,0,
"Violencias sociales","Corsi, Jorge",12287,6089,3326,,"303.6 COR",,,0,0,
"La ruta de los piqueteros ","Dinerstein, Ana Cecilia ; Contartese, Daniel ; Deledicque, Melina",11922,5204,3326,,"303.6 DIN",,,0,0,
"Tecnología en la vida cotidiana","Buch, Tomás",7065,2989,3326,CG,"303 BUC",,,0,0,
"Los tres primeros años de vida","White, Burton L.",5917,1193,3326,SALA,"305.231 WHI",,,0,0,
"Usted y su bebé","Sanger, Sirgay",5918,1194,3326,SALA,"305.232 SAN",,,0,0,
"La juventud latinoamericana en los procesos de globalización",,6823,2719,3326,CG,"305.235 JUV",,,0,0,
"Feminismo populares","Korol, Claudia",11969,5423,3326,,"305.4201 KOL",,,0,0,
"La mujer errumpe en la historia","Ander-Egg, Ezequiel",5272,2623,3326,CG,"305.4 AND",,,0,0,
"Mujeres jefas de hogar, características y tácticas de supervivencia","Morales, Liliana Aurora",5946,1336,3326,SALA,"305.4 MOR",,,0,0,
"Impacto del ambiente en las mujeres",,2133,2655,3326,CG,"305.4 PAS",,,0,0,
"Política y clase obrera","Di Tella, Torcuato S.",5138,2506,3326,CG,"305.562 DIT",,,0,0,
"¡Chau loco!","Cantilo, Miguel",6163,1666,3326,SALA,"305.568 CAN",,,0,0,
"Conversaciones urgentes a partir de Rafael Nahuel","Sinatra Soukoyan, Facundo",12251,5995,3326,"Investigación periodística","305.898 SIN",,,0,0,
"América aborigen","Mandrini, Raúl",10324,4996,3326,"Pueblos Originarios","305.8 MAN",,,0,0,
"La Argentina aborigen","Mandrini, Raúl",9157,4136,3326,,"305.8 MAN",,,0,0,
"Toda la tierra es una sola alma","Martínez Sarasola, Carlos",10883,5513,3326,,"305.8 MAR",,,0,0,
"Los wichí","Rossi, Juan José",6840,2736,3326,CG,"305.982 ROS",,,0,0,
"Los toba","Sánchez, Orlando",6841,2737,3326,CG,"305.982 SN",,,0,0,
Mapuches,"Sugobono, Nahuel",11385,5002,3326,,"305 8 SUG",,,0,0,
"Hacia una gestión parcipativa y eficaz","Burin, David",2624,2595,3326,CG,"305 BUR",,,0,0,
Mujeres,"Galeano, Eduardo",2693,1973,3326,CG,"305 GAL",,,0,0,
"Cartas por la vida","Hesayne, Miguel E.",3178,1967,3326,CG,"305 HES",,,0,0,
"8 de marzo, día internacioal de la mujer",,3208,1964,3326,CG,"305 INF",,,0,0,
"8 de marzo, día internacioal de la mujer",,4186,1965,3326,CG,"305 INF",,,0,0,
"Memoria activa",,4518,2013,3326,CG,"305 MEM",,,0,0,
"Memoria activa",,3194,2014,3326,CG,"305 MEM",,,0,0,
"Jaime de Nevares, último viaje",,3205,2015,3326,CG,"305 NEV",,,0,0,
"Jaime de Nevares, último viaje",,5098,2016,3326,CG,"305 NEV",,,0,0,
"América Latina ","Petras, James",5947,1337,3326,SALA,"305 PET",,,0,0,
"Organizaciones solidarias","Tobar , Federico",5964,1354,3326,SALA,"305 TOB",,,0,0,
"Identidades secretas","Solomianski, Alejandro",6928,2824,3326,CG,"306.08 SOL",,,0,0,
"La democracia providencial","Schnapper, Dominique",12281,6059,3326,"Sociedad, cultura, ciudadanía, promoción cultural, sociología, trabajo social",306.2,,,0,0,
"¡Cuánto trabajo mujer!","Pautassi, Laura",12082,5883,3326,"Sociedad, cultura, ciudadanía, promoción cultural, sociología, trabajo social","306.36 PAT",,,0,0,
"Juegos sociales","Naveiras, Daniel",6838,2734,3326,CG,"306.487 NAV",,,0,0,
"Mariposas libres","Mansilla, Gabriela",11845,5178,3326,,"306.76 MAN",,,0,0,
"Historicismo e iluminismo en la cultura Argentina","Chávez, Fermín",4140,2653,3326,CG,"306.82 CH",,,0,0,
"Historia de la vida privada en la Argentina","Cicerchia, Ricardo",6428,2101,3326,CG,"306.82 CIC",,,0,0,
"Historia de la vida privada en la Argentina","Cicerchia, Ricardo",6430,2103,3326,CG,"306.82 CIC",,,0,0,
"Como no ser una madre perfecta","Purves, Libby",4641,2885,3326,CG,"306.8743 PUR",,,0,0,
"Los silencios y las voces en América Latina","Argumedo, Alcira",7379,3303,3326,CG,"306.9 ARG",,,0,0,
"Globalización e identidad",,4506,2594,3326,CG,"306 BAY",,,0,0,
"Intelectuales, política y poder","Bourdieu, Pierre",6845,2741,3326,CG,"306 BOU",,,0,0,
"Argentina Digital","Cabello, Roxana",8974,4138,3326,,"306 CAB",,,0,0,
"Las Cuestiones","Casullo, Nicolas",8042,4403,3326,,"306 CAS",,,0,0,
"Antropología y políticas culturales","Ceballos, Rita",8658,4530,3326,,"306 CEB",,,0,0,
"Simbología mapuche en territorio tehuelche","Fiadone , Alejandro Eduardo",7696,3619,3326,CG,"306 FIA",,,0,0,
"Dos Argentinas","Galasso, Norberto",10585,4482,3326,,"306 GAL",,,0,0,
"Sectores populares, cultura y política","Gutiérrez, Leandro H.",7874,3797,3326,CG,"306 GUT",,,0,0,
Cultura,"Kuper, Adam",7194,3118,3326,CG,"306 KUP",,,0,0,
"Leer y escribir en contextos sociales complejos",,7030,2954,3326,CG,"306 LEE",,,0,0,
"Yo nena, yo princesa","Mansilla, Gabriela",11844,5174,3326,,"306 MAN",,,0,0,
"Leer el mundo","Petit, Michele",10911,4380,3326,,"306 PET",,,0,0,
"Ciudad y cultura en el siglo XXI ","Puig Picart, Toni",6514,2208,3326,CG,"306 PUI",,,0,0,
"Las ideas del rock","Pujol, Sergio",7888,3811,3326,CG,"306 PUJ",,,0,0,
